X,Y,name,Z
2073492.71499228,1204032.04410569,pc1,677.8
2073491.59111755,1204030.00005853,pc2,678.2
2073488.11413011,1204025.87684312,pc3,680.7
2073487.63648336,1204022.6105822,pc4,680.9
