ENTREE_PRINCIP;2542849.86775873;1199006.1702151;751.5322
ENTREE_EST;2542906.6145561;1199045.11272629;750.2998
CIBLE_5;2542855.68705535;1198998.71155853;750.5128
CIBLE_6;2542863.8555681;1198990.94464079;748.6233
CIBLE_7;2542910.468799;1199030.84628704;747.2419
CIBLE_8;2542889.50310496;1199015.8678654;748.4678
PME1;2542745.99808243;1198954.06885861;740.631
PME2;2542799.52298671;1198922.15459494;752.9113
PME2HAUT;2542804.31941119;1198924.61937641;753.6504
CADASTRE1;2542751.04179145;1198947.38214852;740.7612
